match_year,match_round,home_team,away_team,ht_win_pred_transfer,draw_pred_transfer,at_win_pred_transfer
2009,1,Bologna,Fiorentina,4.8,19.0,76.2
2009,1,Siena,AC Milan,0.0,9.5,90.5
2009,1,Inter,Bari,100.0,0.0,0.0
2009,1,US Palermo,SSC Napoli,30.0,35.0,35.0
2009,1,AS Livorno,Cagliari Calcio,40.0,30.0,30.0
2009,1,Genoa,AS Roma,28.6,23.8,47.6
2009,1,Catania,Sampdoria,30.0,35.0,35.0
2009,1,Udinese,Parma,81.0,9.5,9.5
2009,1,Lazio,Atalanta,95.2,4.8,0.0
2009,1,Juventus,Chievo Verona,85.7,14.3,0.0
2009,2,Bari,Bologna,36.8,36.8,26.3
2009,2,AC Milan,Inter,20.0,55.0,25.0
2009,2,AS Roma,Juventus,9.5,28.6,61.9
2009,2,Atalanta,Genoa,19.0,28.6,52.4
2009,2,Sampdoria,Udinese,54.5,31.8,13.6
2009,2,SSC Napoli,AS Livorno,90.5,9.5,0.0
2009,2,Fiorentina,US Palermo,72.7,22.7,4.5
2009,2,Cagliari Calcio,Siena,42.9,38.1,19.0
2009,2,Parma,Catania,81.0,14.3,4.8
2009,2,Chievo Verona,Lazio,4.5,13.6,81.8
2009,3,AS Livorno,AC Milan,0.0,4.5,95.5
2009,3,Lazio,Juventus,9.1,27.3,63.6
2009,3,Atalanta,Sampdoria,14.3,23.8,61.9
2009,3,US Palermo,Bari,66.7,19.0,14.3
2009,3,Fiorentina,Cagliari Calcio,81.0,9.5,9.5
2009,3,Udinese,Catania,85.7,14.3,0.0
2009,3,Siena,AS Roma,0.0,9.5,90.5
2009,3,Inter,Parma,90.9,0.0,9.1
2009,3,Bologna,Chievo Verona,52.4,38.1,9.5
2009,3,Genoa,SSC Napoli,60.9,26.1,13.0
2009,4,SSC Napoli,Udinese,63.2,10.5,26.3
2009,4,Juventus,AS Livorno,100.0,0.0,0.0
2009,4,Chievo Verona,Genoa,31.6,5.3,63.2
2009,4,Sampdoria,Siena,75.0,20.0,5.0
2009,4,Catania,Lazio,10.0,35.0,55.0
2009,4,Cagliari Calcio,Inter,0.0,5.0,95.0
2009,4,Bari,Atalanta,47.4,36.8,15.8
2009,4,Parma,US Palermo,65.0,15.0,20.0
2009,4,AC Milan,Bologna,95.0,0.0,5.0
2009,4,AS Roma,Fiorentina,55.0,25.0,20.0
2009,5,Atalanta,Catania,69.2,30.8,0.0
2009,5,Udinese,AC Milan,7.7,38.5,53.8
2009,5,Siena,Chievo Verona,23.1,30.8,46.2
2009,5,US Palermo,AS Roma,7.7,23.1,69.2
2009,5,Lazio,Parma,84.6,7.7,7.7
2009,5,Inter,SSC Napoli,69.2,15.4,15.4
2009,5,Fiorentina,Sampdoria,69.2,15.4,15.4
2009,5,Bologna,AS Livorno,46.2,38.5,15.4
2009,5,Bari,Cagliari Calcio,38.5,46.2,15.4
2009,5,Genoa,Juventus,0.0,14.3,85.7
2009,6,Sampdoria,Inter,12.5,12.5,75.0
2009,6,AS Livorno,Fiorentina,12.5,6.3,81.3
2009,6,Catania,AS Roma,0.0,5.9,94.1
2009,6,Udinese,Genoa,29.4,41.2,29.4
2009,6,Parma,Cagliari Calcio,82.4,17.6,0.0
2009,6,SSC Napoli,Siena,88.2,11.8,0.0
2009,6,Lazio,US Palermo,70.6,17.6,11.8
2009,6,Juventus,Bologna,100.0,0.0,0.0
2009,6,Chievo Verona,Atalanta,64.7,35.3,0.0
2009,6,AC Milan,Bari,88.9,5.6,5.6
2009,7,Bari,Catania,44.4,50.0,5.6
2009,7,Inter,Udinese,95.0,0.0,5.0
2009,7,Atalanta,AC Milan,0.0,35.0,65.0
2009,7,Fiorentina,Lazio,65.0,30.0,5.0
2009,7,Cagliari Calcio,Chievo Verona,36.8,31.6,31.6
2009,7,Siena,AS Livorno,57.9,31.6,10.5
2009,7,Sampdoria,Parma,63.2,26.3,10.5
2009,7,AS Roma,SSC Napoli,85.0,15.0,0.0
2009,7,Bologna,Genoa,15.8,5.3,78.9
2009,7,US Palermo,Juventus,20.0,5.0,75.0
2009,8,Juventus,Fiorentina,94.7,5.3,0.0
2009,8,Genoa,Inter,10.5,36.8,52.6
2009,8,Chievo Verona,Bari,50.0,38.9,11.1
2009,8,Udinese,Atalanta,100.0,0.0,0.0
2009,8,Parma,Siena,72.2,22.2,5.6
2009,8,SSC Napoli,Bologna,77.8,22.2,0.0
